,length_ext,target,value,VF_mean_ext,VF_std_ext
240,48,NOLC1,"[-29.544399991989135, 4.440070765030508]",-29.544399991989135,4.440070765030508
241,49,NOLC1,"[-29.517999980926515, 4.2776226899201735]",-29.517999980926515,4.2776226899201735
242,50,NOLC1,"[-29.977199979782103, 4.410439880655664]",-29.977199979782103,4.410439880655664
243,51,NOLC1,"[-29.843999992370605, 4.440748129041739]",-29.843999992370605,4.440748129041739
244,52,NOLC1,"[-30.485400012969972, 4.472657698068989]",-30.485400012969972,4.472657698068989
245,53,NOLC1,"[-30.716069982528687, 4.404064551884582]",-30.716069982528687,4.404064551884582
246,54,NOLC1,"[-31.29470000457764, 4.620201545236233]",-31.29470000457764,4.620201545236233
247,55,NOLC1,"[-31.29263999557495, 4.670145616162054]",-31.29263999557495,4.670145616162054
248,56,NOLC1,"[-31.660200008392334, 4.470650500972547]",-31.660200008392334,4.470650500972547
249,57,NOLC1,"[-32.0073499660492, 4.656551128534294]",-32.0073499660492,4.656551128534294
250,59,NOLC1,"[-32.437399980545045, 4.639519487197295]",-32.437399980545045,4.639519487197295
251,60,NOLC1,"[-32.84880001068115, 4.642598262562301]",-32.84880001068115,4.642598262562301
252,61,NOLC1,"[-32.98749992752075, 4.604888033846735]",-32.98749992752075,4.604888033846735
253,62,NOLC1,"[-33.42050000762939, 4.67627948924516]",-33.42050000762939,4.67627948924516
254,64,NOLC1,"[-33.79446995735169, 4.775215593479385]",-33.79446995735169,4.775215593479385
255,65,NOLC1,"[-34.226289978027346, 4.92712705995385]",-34.226289978027346,4.92712705995385
256,66,NOLC1,"[-34.733099992752074, 5.072391377758852]",-34.733099992752074,5.072391377758852
257,67,NOLC1,"[-35.179700057983396, 4.83716844450058]",-35.179700057983396,4.83716844450058
258,68,NOLC1,"[-35.348009996414184, 4.916886402482055]",-35.348009996414184,4.916886402482055
259,69,NOLC1,"[-35.753699993133544, 5.039992698294101]",-35.753699993133544,5.039992698294101
260,71,NOLC1,"[-35.990499994277954, 4.955820820211701]",-35.990499994277954,4.955820820211701
261,72,NOLC1,"[-36.09130001831055, 5.171529256111642]",-36.09130001831055,5.171529256111642
262,73,NOLC1,"[-36.491400062561034, 5.189434010550077]",-36.491400062561034,5.189434010550077
263,74,NOLC1,"[-37.064390016555784, 5.319613461660855]",-37.064390016555784,5.319613461660855
264,75,NOLC1,"[-37.326809976577756, 5.115465741231773]",-37.326809976577756,5.115465741231773
265,77,NOLC1,"[-37.83070004463196, 5.34721305041012]",-37.83070004463196,5.34721305041012
266,79,NOLC1,"[-38.54610003280639, 5.404465345490968]",-38.54610003280639,5.404465345490968
267,80,NOLC1,"[-38.98819995498657, 5.49243845308683]",-38.98819995498657,5.49243845308683
268,81,NOLC1,"[-38.93656999206543, 5.5872370205972]",-38.93656999206543,5.5872370205972
269,83,NOLC1,"[-39.654899974822996, 5.593621027827626]",-39.654899974822996,5.593621027827626
270,86,NOLC1,"[-40.557500003814695, 5.5719048387740395]",-40.557500003814695,5.5719048387740395
271,89,NOLC1,"[-41.468909996032714, 5.6178577478413825]",-41.468909996032714,5.6178577478413825
272,92,NOLC1,"[-42.41156998252869, 5.8316664251198675]",-42.41156998252869,5.8316664251198675
273,93,NOLC1,"[-42.67880000495911, 5.67182959217605]",-42.67880000495911,5.67182959217605
274,94,NOLC1,"[-42.705479999542234, 5.53349875893612]",-42.705479999542234,5.53349875893612
275,95,NOLC1,"[-43.02546001625061, 5.742653636551407]",-43.02546001625061,5.742653636551407
276,96,NOLC1,"[-43.79297000694275, 5.795329723325977]",-43.79297000694275,5.795329723325977
277,97,NOLC1,"[-43.668600019454956, 5.707699511022247]",-43.668600019454956,5.707699511022247
278,98,NOLC1,"[-44.06318001937866, 5.806647915328935]",-44.06318001937866,5.806647915328935
279,99,NOLC1,"[-44.83943997573853, 5.91088677267644]",-44.83943997573853,5.91088677267644
280,101,NOLC1,"[-44.83960005378723, 5.838334682846565]",-44.83960005378723,5.838334682846565
281,104,NOLC1,"[-45.885340003967286, 6.041037678903803]",-45.885340003967286,6.041037678903803
282,107,NOLC1,"[-46.968439960479735, 6.0418882294083325]",-46.968439960479735,6.0418882294083325
283,108,NOLC1,"[-47.13224000740051, 5.8487571098689415]",-47.13224000740051,5.8487571098689415
284,110,NOLC1,"[-47.918599952697754, 6.280252668838644]",-47.918599952697754,6.280252668838644
285,113,NOLC1,"[-48.556299995422364, 6.1648893211806755]",-48.556299995422364,6.1648893211806755
286,116,NOLC1,"[-49.983000019073486, 6.326276247448888]",-49.983000019073486,6.326276247448888
287,117,NOLC1,"[-49.81325, 6.415273074888462]",-49.81325,6.415273074888462
288,48,LMNB1,"[-27.434270027160643, 5.358006370167001]",-27.434270027160643,5.358006370167001
289,49,LMNB1,"[-27.439659979820252, 5.367730106812794]",-27.439659979820252,5.367730106812794
