experiment,sample,cell_line,target,prime_editor,replicate,context,library_size,figure,name
EMX1_293T_PE2_6,45-6-7-EMX1,HEK293T,EMX1,PE2,1,wt,3752,Figure 1,EMX1 HEK293T set2
EMX1_293T_PE2_6,45-6-8-EMX1,HEK293T,EMX1,PE2,2,wt,3752,Figure 1,EMX1 HEK293T set2
EMX1_293T_PE2_6,45-6-9-EMX1,HEK293T,EMX1,PE2,3,wt,3752,Figure 1,EMX1 HEK293T set2
FANCF_HAP1dMLH1_PBPE_7,E5,HAP1dMLH1,FANCF,PBPE,1,repair,14416,Figure 2,FANCF HAP1dMLH1 set1+2
FANCF_HAP1dMLH1_PBPE_7,F5,HAP1dMLH1,FANCF,PBPE,2,repair,14416,Figure 2,FANCF HAP1dMLH1 set1+2
HEK3_HAP1dMLH1_PBPE_7,G5,HAP1dMLH1,HEK3,PBPE,1,repair,14416,Figure 2,HEK3 HAP1dMLH1 set1+2
HEK3_HAP1dMLH1_PBPE_7,H5,HAP1dMLH1,HEK3,PBPE,2,repair,14416,Figure 2,HEK3 HAP1dMLH1 set1+2
HEK3_293T_PE2_EV,45-2-4-EV,HEK293T,HEK3,EV,1,repair,2666,Figure 3,HEK3 HEK293T EV
HEK3_293T_PE2_EV,45-2-5-EV,HEK293T,HEK3,EV,2,repair,2666,Figure 3,HEK3 HEK293T EV
HEK3_293T_PE2_EV,45-2-6-EV,HEK293T,HEK3,EV,3,repair,2666,Figure 3,HEK3 HEK293T EV
HEK3_293T_PE2_TREX1,45-2-4-108,HEK293T,HEK3,TREX1,1,repair,2666,Figure 3,HEK3 HEK293T TREX1
HEK3_293T_PE2_TREX1,45-2-5-108,HEK293T,HEK3,TREX1,2,repair,2666,Figure 3,HEK3 HEK293T TREX1
